flutter: 🎯 Target Bitrate: 32976.361 kbps | 📡 Current Bitrate: 27958.45 kbps
flutter: 🎯 Target Bitrate: 35233.425 kbps | 📡 Current Bitrate: 30238.70 kbps
flutter: 🎯 Target Bitrate: 37675.954 kbps | 📡 Current Bitrate: 32423.14 kbps
flutter: 🎯 Target Bitrate: 41452.483 kbps | 📡 Current Bitrate: 36215.91 kbps
flutter: 🎯 Target Bitrate: 44544.063 kbps | 📡 Current Bitrate: 38882.28 kbps
flutter: 🎯 Target Bitrate: 47744.821 kbps | 📡 Current Bitrate: 42148.03 kbps
flutter: 🎯 Target Bitrate: 52280.149 kbps | 📡 Current Bitrate: 43319.18 kbps
flutter: 🎯 Target Bitrate: 56121.844 kbps | 📡 Current Bitrate: 51041.61 kbps
flutter: 🎯 Target Bitrate: 60168.697 kbps | 📡 Current Bitrate: 49769.62 kbps
flutter: 🎯 Target Bitrate: 65879.845 kbps | 📡 Current Bitrate: 53899.79 kbps
flutter: 🎯 Target Bitrate: 70730.621 kbps | 📡 Current Bitrate: 48694.50 kbps
flutter: 🎯 Target Bitrate: 66439.447 kbps | 📡 Current Bitrate: 50777.39 kbps
flutter: 🎯 Target Bitrate: 79236.926 kbps | 📡 Current Bitrate: 47661.84 kbps
flutter: 🎯 Target Bitrate: 83999.029 kbps | 📡 Current Bitrate: 56086.53 kbps
flutter: 🎯 Target Bitrate: 84666.764 kbps | 📡 Current Bitrate: 48864.17 kbps
flutter: 🎯 Target Bitrate: 87313.481 kbps | 📡 Current Bitrate: 50787.81 kbps
flutter: 🎯 Target Bitrate: 87352.363 kbps | 📡 Current Bitrate: 46312.35 kbps
flutter: 🎯 Target Bitrate: 87077.968 kbps | 📡 Current Bitrate: 54890.76 kbps
flutter: 🎯 Target Bitrate: 87416.767 kbps | 📡 Current Bitrate: 43990.70 kbps
flutter: 🎯 Target Bitrate: 89949.867 kbps | 📡 Current Bitrate: 55919.42 kbps
flutter: 🎯 Target Bitrate: 89835.438 kbps | 📡 Current Bitrate: 48838.24 kbps
flutter: 🎯 Target Bitrate: 90136.414 kbps | 📡 Current Bitrate: 51213.50 kbps
flutter: 🎯 Target Bitrate: 89914.988 kbps | 📡 Current Bitrate: 49718.56 kbps
flutter: 🎯 Target Bitrate: 89423.203 kbps | 📡 Current Bitrate: 56000.57 kbps
flutter: 🎯 Target Bitrate: 89716.44 kbps | 📡 Current Bitrate: 52481.74 kbps
flutter: 🎯 Target Bitrate: 89445.235 kbps | 📡 Current Bitrate: 55625.50 kbps
flutter: 🎯 Target Bitrate: 90324.108 kbps | 📡 Current Bitrate: 54697.59 kbps
flutter: 🎯 Target Bitrate: 89540.367 kbps | 📡 Current Bitrate: 52929.65 kbps
flutter: 🎯 Target Bitrate: 90068.807 kbps | 📡 Current Bitrate: 55428.13 kbps
flutter: 🎯 Target Bitrate: 89870.179 kbps | 📡 Current Bitrate: 53144.45 kbps
flutter: 🎯 Target Bitrate: 90075.088 kbps | 📡 Current Bitrate: 58247.03 kbps
flutter: 🎯 Target Bitrate: 90387.657 kbps | 📡 Current Bitrate: 54021.67 kbps
flutter: 🎯 Target Bitrate: 91009.005 kbps | 📡 Current Bitrate: 55608.62 kbps
flutter: 🎯 Target Bitrate: 90691.35 kbps | 📡 Current Bitrate: 57383.42 kbps
flutter: 🎯 Target Bitrate: 89971.232 kbps | 📡 Current Bitrate: 50362.95 kbps
flutter: 🎯 Target Bitrate: 91682.107 kbps | 📡 Current Bitrate: 55430.36 kbps
flutter: 🎯 Target Bitrate: 91415.291 kbps | 📡 Current Bitrate: 53656.73 kbps
flutter: 🎯 Target Bitrate: 92012.708 kbps | 📡 Current Bitrate: 56291.90 kbps
flutter: 🎯 Target Bitrate: 92544.132 kbps | 📡 Current Bitrate: 51479.97 kbps
flutter: 🎯 Target Bitrate: 93339.161 kbps | 📡 Current Bitrate: 56200.00 kbps
flutter: 🎯 Target Bitrate: 92470.137 kbps | 📡 Current Bitrate: 50161.66 kbps
flutter: 🎯 Target Bitrate: 93841.567 kbps | 📡 Current Bitrate: 47893.18 kbps
flutter: 🎯 Target Bitrate: 94025.782 kbps | 📡 Current Bitrate: 45526.29 kbps
flutter: 🎯 Target Bitrate: 94025.782 kbps | 📡 Current Bitrate: 48895.83 kbps
flutter: 🎯 Target Bitrate: 93096.341 kbps | 📡 Current Bitrate: 45502.14 kbps
flutter: 🎯 Target Bitrate: 93948.303 kbps | 📡 Current Bitrate: 52279.43 kbps
flutter: 🎯 Target Bitrate: 40986.123 kbps | 📡 Current Bitrate: 33938.51 kbps
flutter: 🎯 Target Bitrate: 2619.253 kbps | 📡 Current Bitrate: 27099.01 kbps
flutter: 🎯 Target Bitrate: 2484.196 kbps | 📡 Current Bitrate: 2690.90 kbps
flutter: 🎯 Target Bitrate: 2348.082 kbps | 📡 Current Bitrate: 1964.69 kbps
flutter: 🎯 Target Bitrate: 2001.492 kbps | 📡 Current Bitrate: 1755.95 kbps
flutter: 🎯 Target Bitrate: 3048.751 kbps | 📡 Current Bitrate: 1777.38 kbps
flutter: 🎯 Target Bitrate: 94933.95 kbps | 📡 Current Bitrate: 18807.74 kbps
flutter: 🎯 Target Bitrate: 91512.446 kbps | 📡 Current Bitrate: 43490.43 kbps
flutter: 🎯 Target Bitrate: 94694.191 kbps | 📡 Current Bitrate: 44678.30 kbps
flutter: 🎯 Target Bitrate: 93090.908 kbps | 📡 Current Bitrate: 51436.50 kbps
flutter: 🎯 Target Bitrate: 94431.235 kbps | 📡 Current Bitrate: 48233.53 kbps
flutter: 🎯 Target Bitrate: 94191.556 kbps | 📡 Current Bitrate: 47335.91 kbps
flutter: 🎯 Target Bitrate: 94012.031 kbps | 📡 Current Bitrate: 49132.31 kbps
flutter: 🎯 Target Bitrate: 94620.668 kbps | 📡 Current Bitrate: 46826.46 kbps
flutter: 🎯 Target Bitrate: 94926.608 kbps | 📡 Current Bitrate: 49386.82 kbps
flutter: 🎯 Target Bitrate: 95172.587 kbps | 📡 Current Bitrate: 46049.95 kbps
flutter: 🎯 Target Bitrate: 92369.118 kbps | 📡 Current Bitrate: 50769.33 kbps
flutter: 🎯 Target Bitrate: 94635.1 kbps | 📡 Current Bitrate: 47024.18 kbps
flutter: 🎯 Target Bitrate: 95449.068 kbps | 📡 Current Bitrate: 42815.62 kbps
flutter: 🎯 Target Bitrate: 94899.34 kbps | 📡 Current Bitrate: 47879.21 kbps
flutter: 🎯 Target Bitrate: 94309.314 kbps | 📡 Current Bitrate: 45535.64 kbps
flutter: 🎯 Target Bitrate: 95393.605 kbps | 📡 Current Bitrate: 45512.54 kbps
flutter: 🎯 Target Bitrate: 95594.5 kbps | 📡 Current Bitrate: 45582.81 kbps
flutter: 🎯 Target Bitrate: 94103.725 kbps | 📡 Current Bitrate: 47829.76 kbps
flutter: 🎯 Target Bitrate: 95369.83 kbps | 📡 Current Bitrate: 47754.16 kbps
flutter: 🎯 Target Bitrate: 94298.355 kbps | 📡 Current Bitrate: 45077.78 kbps
flutter: 🎯 Target Bitrate: 95350.249 kbps | 📡 Current Bitrate: 42508.98 kbps
flutter: 🎯 Target Bitrate: 91809.711 kbps | 📡 Current Bitrate: 50687.50 kbps
flutter: 🎯 Target Bitrate: 91809.711 kbps | 📡 Current Bitrate: 46715.06 kbps
flutter: 🎯 Target Bitrate: 95125.492 kbps | 📡 Current Bitrate: 50166.56 kbps
flutter: 🎯 Target Bitrate: 95380.772 kbps | 📡 Current Bitrate: 44660.70 kbps
flutter: 🎯 Target Bitrate: 95496.726 kbps | 📡 Current Bitrate: 48051.23 kbps
flutter: 🎯 Target Bitrate: 95302.623 kbps | 📡 Current Bitrate: 42282.86 kbps
flutter: 🎯 Target Bitrate: 95302.623 kbps | 📡 Current Bitrate: 45275.62 kbps
flutter: 🎯 Target Bitrate: 95077.064 kbps | 📡 Current Bitrate: 48104.84 kbps
flutter: 🎯 Target Bitrate: 93852.146 kbps | 📡 Current Bitrate: 47332.31 kbps
