
Timestamp,target_bitrate,current_bitrate
bandwidth_marks = [
flutter: 2025-06-10T00:57:34.614309,47100.734,27189.78
flutter: 2025-06-10T00:57:35.614593,61097.676,20174.66
flutter: 2025-06-10T00:57:36.612798,61263.492,45313.91
flutter: 2025-06-10T00:57:37.613756,58722.546,41552.29
flutter: 2025-06-10T00:57:38.613628,66893.572,45555.76
flutter: 2025-06-10T00:57:39.614711,3998.432,15677.14
flutter: 2025-06-10T00:57:40.616242,4268.976,2692.82
flutter: 2025-06-10T00:57:41.614959,5018.24,3155.29
flutter: 2025-06-10T00:57:42.614282,10350.501,5070.95
flutter: 2025-06-10T00:57:43.614878,698.616,17072.79
flutter: 2025-06-10T00:57:44.613868,848.271,1782.33
flutter: 2025-06-10T00:57:45.613803,491.592,2882.62
flutter: 2025-06-10T00:57:46.612682,491.6,6332.91
flutter: 2025-06-10T00:57:47.613702,491.6,7901.29
flutter: 2025-06-10T00:57:48.613168,491.549,5079.23
flutter: 2025-06-10T00:57:49.618648,491.376,3690.90
flutter: 2025-06-10T00:57:50.616023,491.4,1226.94
flutter: 2025-06-10T00:57:51.614289,491.4,796.56
flutter: 2025-06-10T00:57:52.613197,491.4,0.00
flutter: 2025-06-10T00:57:53.885415,983.2,0.00
flutter: 2025-06-10T00:57:54.615736,983.2,604.95
flutter: 2025-06-10T00:57:55.613954,982.712,543.27
flutter: 2025-06-10T00:57:56.614894,982.712,513.03
flutter: 2025-06-10T00:57:57.615313,982.504,1025.82
flutter: 2025-06-10T00:57:58.614866,982.504,791.75
flutter: 2025-06-10T00:57:59.615373,982.272,574.13
flutter: 2025-06-10T00:58:00.620290,982.744,1065.89
flutter: 2025-06-10T00:58:01.617831,982.744,963.64
flutter: 2025-06-10T00:58:02.616986,982.744,555.15
flutter: 2025-06-10T00:58:03.616610,983.2,1040.50
flutter: 2025-06-10T00:58:04.614793,955.091,1029.01
flutter: 2025-06-10T00:58:05.614467,982.216,1057.47
flutter: 2025-06-10T00:58:06.616029,981.904,1064.90
flutter: 2025-06-10T00:58:07.612959,981.48,1061.81
flutter: 2025-06-10T00:58:08.614517,982.104,1011.80
flutter: 2025-06-10T00:58:09.613727,1189.572,1235.32
flutter: 2025-06-10T00:58:10.619993,2053.106,1590.05
flutter: 2025-06-10T00:58:11.617463,3515.446,1149.57
flutter: 2025-06-10T00:58:12.617074,5983.608,2904.53
flutter: 2025-06-10T00:58:13.613175,10152.683,6364.56
flutter: 2025-06-10T00:58:14.615604,17194.72,11753.03
flutter: 2025-06-10T00:58:15.616335,29108.25,17022.44
flutter: 2025-06-10T00:58:16.614989,602.309,18189.15
flutter: 2025-06-10T00:58:17.615713,462.104,15318.29
flutter: 2025-06-10T00:58:18.614382,491.264,7135.82
flutter: 2025-06-10T00:58:19.614904,491.264,1236.12
flutter: 2025-06-10T00:58:20.617045,491.264,1039.88
flutter: 2025-06-10T00:58:21.615670,491.264,500.80
flutter: 2025-06-10T00:58:22.616216,982.968,789.80
flutter: 2025-06-10T00:58:23.615303,1703.811,260.23
flutter: 2025-06-10T00:58:24.614427,2922.04,1891.36
flutter: 2025-06-10T00:58:25.614886,4977.92,3614.33
flutter: 2025-06-10T00:58:26.614540,8442.224,7002.17
flutter: 2025-06-10T00:58:27.615053,8437.456,9029.02
flutter: 2025-06-10T00:58:28.614968,11013.36,10225.36
flutter: 2025-06-10T00:58:29.613928,18654.869,15205.35
flutter: 2025-06-10T00:58:30.613179,31565.512,23833.44
flutter: 2025-06-10T00:58:31.619906,546.328,3509.65
flutter: 2025-06-10T00:58:32.618978,491.056,2880.38
flutter: 2025-06-10T00:58:33.615908,491.44,5084.87
flutter: 2025-06-10T00:58:34.615846,491.44,3241.20
flutter: 2025-06-10T00:58:35.614826,491.2,1500.12
flutter: 2025-06-10T00:58:36.615865,490.928,1065.27
flutter: 2025-06-10T00:58:37.615228,490.928,632.58
flutter: 2025-06-10T00:58:38.616316,982.744,610.76
flutter: 2025-06-10T00:58:39.615443,982.2,845.41
flutter: 2025-06-10T00:58:40.616190,982.2,941.70
flutter: 2025-06-10T00:58:41.615957,981.504,1057.87
flutter: 2025-06-10T00:58:42.616396,981.504,935.81
flutter: 2025-06-10T00:58:43.616224,981.504,641.11
flutter: 2025-06-10T00:58:44.613729,982.632,661.28
flutter: 2025-06-10T00:58:45.617276,982.584,809.16
flutter: 2025-06-10T00:58:46.616173,982.584,635.65
flutter: 2025-06-10T00:58:47.615409,982.608,746.80
flutter: 2025-06-10T00:58:48.615470,1674.886,965.72
flutter: 2025-06-10T00:58:49.616165,2873.105,1437.65
flutter: 2025-06-10T00:58:50.615622,3753.364,2411.25
flutter: 2025-06-10T00:58:51.616511,6385.628,4024.14
flutter: 2025-06-10T00:58:52.614429,10819.944,8267.66
flutter: 2025-06-10T00:58:53.615084,18342.706,16588.93
flutter: 2025-06-10T00:58:54.617767,31062.438,23515.53
flutter: 2025-06-10T00:58:55.618395,28253.393,16895.03
flutter: 2025-06-10T00:58:56.612305,40399.531,20828.45
flutter: 2025-06-10T00:58:57.615801,804.47,7732.85
flutter: 2025-06-10T00:58:58.614467,490.68,2125.29
flutter: 2025-06-10T00:58:59.614865,491.552,4990.17
flutter: 2025-06-10T00:59:00.614798,491.568,5654.85
flutter: 2025-06-10T00:59:01.614749,491.368,4117.42
flutter: 2025-06-10T00:59:02.614583,491.544,2864.09
flutter: 2025-06-10T00:59:03.614359,491.48,1158.49
flutter: 2025-06-10T00:59:04.614192,974.578,1032.78
flutter: 2025-06-10T00:59:05.615125,974.578,1034.55
flutter: 2025-06-10T00:59:06.611766,982.92,1038.48
flutter: 2025-06-10T00:59:07.619117,982.984,1028.02
flutter: 2025-06-10T00:59:08.619631,983.168,1004.02
flutter: 2025-06-10T00:59:09.616316,983.168,805.41
flutter: 2025-06-10T00:59:10.615019,983.072,672.36
flutter: 2025-06-10T00:59:11.615547,983.072,709.95
flutter: 2025-06-10T00:59:12.614279,983.166,771.56
flutter: 2025-06-10T00:59:13.613001,982.789,677.85
flutter: 2025-06-10T00:59:14.613697,983.2,86.25
flutter: 2025-06-10T00:59:15.612912,983.2,155.90
flutter: 2025-06-10T00:59:16.615477,1596.541,406.89
flutter: 2025-06-10T00:59:17.616014,2743.702,1237.99
flutter: 2025-06-10T00:59:18.616060,4679.668,874.01
flutter: 2025-06-10T00:59:19.615347,7949.988,2004.31
flutter: 2025-06-10T00:59:20.615500,13478.034,3955.77
flutter: 2025-06-10T00:59:21.616093,14662.871,8564.36
flutter: 2025-06-10T00:59:22.615899,549.725,3628.22
flutter: 2025-06-10T00:59:23.614407,489.504,1535.13
flutter: 2025-06-10T00:59:24.614117,490.552,2806.13
flutter: 2025-06-10T00:59:25.614595,490.712,6255.14
flutter: 2025-06-10T00:59:26.614550,491.296,5907.39
flutter: 2025-06-10T00:59:27.614683,490.904,4138.95
flutter: 2025-06-10T00:59:28.616393,490.984,2487.29
flutter: 2025-06-10T00:59:29.616099,491.512,867.44
flutter: 2025-06-10T00:59:30.615690,983.128,597.46
flutter: 2025-06-10T00:59:31.621387,982.552,685.36
flutter: 2025-06-10T00:59:32.615139,982.656,748.80
flutter: 2025-06-10T00:59:33.615575,982.464,956.74
flutter: 2025-06-10T00:59:34.614354,982.464,1294.21
flutter: 2025-06-10T00:59:35.615346,982.272,1340.02
flutter: 2025-06-10T00:59:36.614012,1161.694,1141.33
flutter: 2025-06-10T00:59:37.615531,2006.264,1622.58
flutter: 2025-06-10T00:59:38.617845,3432.636,2295.19
flutter: 2025-06-10T00:59:39.616840,5843.212,3541.48
flutter: 2025-06-10T00:59:40.617190,9916.484,5809.44
flutter: 2025-06-10T00:59:41.617184,16799.633,10150.87
flutter: 2025-06-10T00:59:42.615268,511.706,4882.97
flutter: 2025-06-10T00:59:43.614538,489.656,1235.20
flutter: 2025-06-10T00:59:44.615056,491.544,1887.51
flutter: 2025-06-10T00:59:45.613755,491.584,4318.61
flutter: 2025-06-10T00:59:46.614848,491.584,5316.39
flutter: 2025-06-10T00:59:47.614720,491.48,3358.94
flutter: 2025-06-10T00:59:48.616564,491.432,4656.82
flutter: 2025-06-10T00:59:49.616870,491.128,3137.20
flutter: 2025-06-10T00:59:50.616169,491.536,1862.26
flutter: 2025-06-10T00:59:51.615838,491.44,1523.94
flutter: 2025-06-10T00:59:52.614623,491.0,1674.08
flutter: 2025-06-10T00:59:53.615325,491.0,1612.42
flutter: 2025-06-10T00:59:54.616595,491.216,1660.82
flutter: 2025-06-10T00:59:55.614990,490.968,1591.59
flutter: 2025-06-10T00:59:56.616598,490.968,1002.46
